name,gender,nationality,department,position,birthdate,email,phone,address,hire_date,contract_type,employee_id,salary,termination_date
Luke Smith,Male,American,Sales,Sales Associate,8/11/1973,patrick58@example.org,0000000000,"315 Robinson Inlet
South Thomas, MT 03594",1979-05-05,Part-time,EMP1010,39076.12,
Alicia Taylor,Female,American,Management,Assistant Manager,1/7/1987,xbanks@example.net,0000000000,"764 Paula Hill Apt. 369
New Alec, ME 30695",2014-01-31,Part-time,EMP1011,52606.51,11/8/2022
Alexander Duncan,Male,Indian,Customer Service,Support Agent,10/14/2005,craigfletcher@example.org,0000000000,"87424 Stephens Via
Andersonhaven, MH 32059",2029-09-04,Temporary,EMP1012,27125.81,
Andrew Thornton,Male,American,Inventory,Warehouse Assistant,1/18/1964,morgan38@example.org,0000000000,"574 Lindsey Spurs Apt. 130
Lake Brian, VI 97103",1966-06-07,Part-time,EMP1013,28192.84,12/17/1972
Kelli Wade,Female,American,Customer Service,Customer Service Rep,12/26/2005,wrodriguez@example.org,13907589534,"6049 Quinn Hollow
Kimberlyberg, IL 48670",2012-10-17,Full-time,EMP1014,64751.64,
Jesse Hansen,Male,American,Cashier,Lead Cashier,5/11/1992,anthony39@example.org,4594954018,"91937 Melissa Court Suite 618
Douglasstad, NE 84346",2015-04-24,Full-time,EMP1015,37928.35,7/28/2018
Daniel Parker,Male,British,Inventory,Stock Clerk,3/29/1990,sandra32@example.org,0000000000,"35458 Pamela Circle
Osbornmouth, AZ 57853",1999-10-02,Freelance,EMP1016,79649.22,
Joshua Brown,Male,British,Inventory,Warehouse Assistant,10/18/1969,ljones@example.com,6563961789,"875 Christopher Club Suite 694
Kathleenport, AK 71676",1993-01-25,Full-time,EMP1017,45351.69,
Mark Sims,Male,German,Inventory,Warehouse Assistant,7/21/1994,laura75@example.net,0000000000,"678 Levine Lodge Apt. 467
Rileyshire, NE 63591",1989-03-01,Temporary,EMP1018,29733.7,
Angel Johnston,Male,Canadian,Inventory,Warehouse Assistant,12/3/1961,nan,0000000000,"71377 Robert Haven Apt. 288
Kevinbury, OH 46430",1983-03-28,Part-time,EMP1019,78421.2,
Kelli Sanford,Female,American,Customer Service,Support Agent,1/3/1981,mannaustin@example.com,0000000000,"690 Clark Crossroad Apt. 678
South John, LA 24379",1997-02-04,Temporary,EMP1020,61341.86,1/19/2006
Christina Watkins,Female,Canadian,Sales,Sales Associate,1/10/1962,perezjessica@example.net,0000000000,"91998 Savannah Views Suite 169
Shieldsmouth, TX 43137",1983-01-02,Temporary,EMP1021,58204.15,12/3/1984
Valerie Lee,Female,Indian,Customer Service,Customer Service Rep,3/6/1975,smithjeffrey@example.com,9102708306,"2477 Hannah Groves Apt. 926
Carrollside, NY 59833",1963-04-15,Freelance,EMP1022,43379.69,
Diane Hess,Female,Indian,Inventory,Warehouse Assistant,7/25/1993,nicole17@example.org,0000000000,"24110 Torres Island Apt. 266
Jonesview, CT 04792",1995-03-01,Temporary,EMP1023,64598.71,
Jerome Richard,Male,French,Sales,Sales Associate,1/8/1998,estradastephen@example.net,0000000000,"11040 Fuller Fort
Loweberg, MA 41944",1999-04-15,Part-time,EMP1024,70007.58,9/27/2002
Michael Martinez,Male,Indian,Inventory,Warehouse Assistant,3/10/1969,codybennett@example.org,0000000000,"85798 Cox Fall Apt. 008
Johnsonfort, SC 85493",1970-09-28,Freelance,EMP1025,58125.43,
Paul Sullivan,Male,American,Customer Service,Customer Service Rep,8/19/2004,mcdonaldlaura@example.net,0000000000,"55174 Benjamin Estate Suite 423
Nicoleberg, MN 83765",2023-06-13,Freelance,EMP1026,68097.64,
Kathy Adams,Female,Indian,Customer Service,Support Agent,7/9/1971,wwhite@example.org,9734692482,"2693 Walsh Skyway
North Paulahaven, MI 41072",1993-08-15,Full-time,EMP1027,62126.23,
Cesar Sanchez,Male,French,Cashier,Cashier,6/6/2007,hherrera@example.net,16272147651,"16391 Rowland Avenue Apt. 349
Mcdowellstad, MO 80758",2034-03-14,Full-time,EMP1028,64320.11,
Anthony Webb,Male,American,Sales,Sales Associate,9/23/1990,iwalker@example.org,9572663969,"69465 Morgan Drives
Donaldhaven, LA 21897",2007-11-22,Freelance,EMP1029,41812.33,
Thomas Owens,Male,Canadian,Sales,Sales Associate,12/25/1995,franklinryan@example.org,3296337284,"PSC 7513, Box 6847
APO AP 65678",1999-05-26,Temporary,EMP1030,42370.99,
Christopher May,Male,Canadian,Customer Service,Support Agent,12/3/1963,seanwang@example.com,4739529673,"5378 John Ports
Jacksonstad, MS 84968",1990-08-11,Part-time,EMP1031,73983.91,
Joshua Wilson,Male,Canadian,Customer Service,Support Agent,1/7/1977,sbailey@example.org,7089737248,,1970-04-09,Temporary,EMP1032,68324.72,3/21/1980
Jackson Ramirez,Male,Canadian,Cashier,Cashier,7/28/1992,asnyder@example.org,16002095309,"845 Schultz Crossroad Apt. 387
West Lauren, AS 99877",2003-01-15,Full-time,EMP1033,51314.92,
Cynthia Taylor,Female,Indian,Management,Assistant Manager,4/6/2005,jamiearmstrong@example.net,7917215288,"PSC 1069, Box 1513
APO AE 22831",1993-02-24,Freelance,EMP1034,66435.08,10/1/1998
Stacy Nelson,Female,British,Inventory,Warehouse Assistant,10/20/1982,nan,0000000000,"123 Devin Garden Suite 252
Michelletown, TX 01624",2004-12-26,Freelance,EMP1035,64652.6,4/6/2014
Jasmine Matthews,Female,American,Inventory,Warehouse Assistant,4/6/2000,stephensmith@example.com,0000000000,"2747 Bush Mills
Williamview, WI 79698",1999-05-06,Part-time,EMP1036,42036.32,1/7/2005
James Smith,Male,French,Customer Service,Support Agent,3/13/1963,alyssa94@example.net,0000000000,"350 Smith Points Apt. 437
Terriside, NM 62445",1982-08-14,Temporary,EMP1037,27785.43,
Eric Grant,Male,American,Inventory,Stock Clerk,5/31/1984,carrillodavid@example.org,0000000000,,2010-05-10,Part-time,EMP1038,27382.73,
Jamie Alvarez,Female,German,Management,Assistant Manager,9/16/1989,natalie11@example.net,0000000000,"2957 Dalton Locks
South Victorborough, WV 49610",1999-10-14,Freelance,EMP1039,35560.44,
Joseph Nunez,Male,Mexican,Sales,Senior Salesperson,9/2/1967,martinchristine@example.net,5929012230,"935 Villa Hill Suite 109
Perezton, MA 69881",1961-12-21,Full-time,EMP1040,55701.34,3/30/1963
Allison Delgado,Female,British,Customer Service,Customer Service Rep,11/12/1990,yvillegas@example.com,0000000000,"Unit 1527 Box 8950
DPO AE 78537",1982-01-11,Full-time,EMP1041,51104.36,3/13/1991
Kristina Hodge,Female,German,Cashier,Lead Cashier,10/15/1977,dhernandez@example.org,7272957615,"873 Morgan Route
Vazquezshire, AK 98717",1985-06-15,Temporary,EMP1042,73271.48,6/3/1990
Mr. Daniel Suarez MD,Unknown,Indian,Customer Service,Support Agent,1/27/1985,nan,4343817041,"74163 Gonzalez Trail
East Valerie, IA 43603",1990-08-03,Temporary,EMP1043,42300.82,1/31/1992
Austin Werner,Male,German,Customer Service,Customer Service Rep,3/23/1966,bjones@example.com,3969297331,"3037 White Island
South Jeffreyfort, IN 71986",1990-12-12,Temporary,EMP1044,59632.74,6/10/1995
Andrea Hoffman,Female,Mexican,Management,Store Manager,1/24/1995,gfitzgerald@example.net,0000000000,"8394 Sanchez Fork Apt. 549
West Jessicaburgh, ND 52229",2018-11-06,Full-time,EMP1045,26453.22,
Lawrence Marshall,Male,American,Sales,Senior Salesperson,6/30/1983,bonniejackson@example.com,8172538035,"USS Johnson
FPO AP 28310",1970-03-30,Part-time,EMP1046,43695.49,5/16/1976
Austin Oneill,Male,Indian,Customer Service,Customer Service Rep,2/4/1961,smithnathan@example.org,0000000000,"Unit 3173 Box 0038
DPO AA 51415",1978-10-10,Temporary,EMP1047,40130.62,12/8/1980
Jeremiah Anderson,Male,British,Sales,Sales Associate,4/7/1978,dylanhernandez@example.net,0000000000,,1964-10-15,Full-time,EMP1048,39703.03,4/7/1972
Alan Smith,Male,Mexican,Customer Service,Customer Service Rep,10/11/1985,swheeler@example.com,0000000000,"76546 Chelsea Plains Apt. 747
Chadside, AR 79887",1984-08-26,Freelance,EMP1049,35201.16,
Loretta Ross,Female,Canadian,Inventory,Warehouse Assistant,3/8/1975,donaldmason@example.net,7539972200,"067 Goodwin Mountains
Crawfordchester, VI 53286",1967-05-29,Part-time,EMP1050,39656.47,
Angela Osborn,Female,German,Customer Service,Customer Service Rep,6/10/1964,marcus71@example.net,0000000000,"3077 Mclaughlin Ports
Cookview, NE 21939",1958-05-16,Full-time,EMP1051,77104.1,
Brittany Hernandez,Female,Canadian,Cashier,Lead Cashier,5/8/1971,jacobswilliam@example.net,0000000000,"41243 John Port
Lauratown, VA 85178",1986-05-13,Freelance,EMP1052,43249.88,4/9/1994
Todd Johnson,Male,Canadian,Sales,Sales Associate,1/22/1998,timothyhiggins@example.net,0000000000,"25261 Thompson Mission
Leslieshire, VI 84335",2000-11-02,Temporary,EMP1053,76239.48,6/23/2008
Corey Stevens,Male,Indian,Inventory,Stock Clerk,10/21/1983,darrell76@example.com,0000000000,"29636 Perkins Pass
New Angelabury, PR 23818",1998-11-22,Part-time,EMP1054,69216.42,
Joshua Little,Male,American,Sales,Senior Salesperson,7/15/1991,corey17@example.com,0000000000,"255 Matthew Views
Robertsbury, ME 96979",1994-10-21,Temporary,EMP1055,49294.79,
Misty Norris,Female,British,Sales,Senior Salesperson,3/16/1994,ashleycoleman@example.net,5189320702,"3359 Kristie Radial
Joshuamouth, MN 70200",1983-03-31,Full-time,EMP1056,60909.69,7/1/1989
Peggy Barker,Female,British,Sales,Senior Salesperson,10/12/1997,hrice@example.net,5717180292,"04735 Rush Pike Apt. 707
Lake Stephanie, MT 76610",2019-01-07,Part-time,EMP1057,72486.88,
Victoria Case,Female,French,Inventory,Warehouse Assistant,1/11/1989,kaitlynwaller@example.org,0000000000,"09075 Valdez Road Suite 569
North Todd, MT 40655",2011-03-03,Full-time,EMP1058,27695.85,
Joan White,Female,Mexican,Sales,Sales Associate,4/7/1993,wnunez@example.com,0000000000,"344 Daniel Roads
Port Marystad, PA 88132",1985-07-22,Full-time,EMP1059,36603.78,
Katie Thompson,Female,Indian,Customer Service,Support Agent,12/7/1995,xaustin@example.com,18604666107,"0726 Valerie Port
Riveraborough, NV 72063",1995-09-12,Part-time,EMP1060,76797.22,4/4/2000
Mr. Jason Johnson,Unknown,Indian,Inventory,Stock Clerk,5/17/1981,cynthiawillis@example.net,0000000000,"756 Rodriguez Flats
New Elizabethborough, VT 63648",1975-02-06,Part-time,EMP1061,79732.89,7/8/1979
John Nielsen,Male,French,Customer Service,Customer Service Rep,4/4/1967,carrie69@example.com,0000000000,"5006 Herbert Curve
East George, MD 16546",1981-03-20,Freelance,EMP1062,29545.91,
Cynthia Cook,Female,Indian,Sales,Sales Associate,1/24/1963,robertroberts@example.net,15576625032,,1981-08-05,Temporary,EMP1063,62034.03,5/6/1988
Tristan Caldwell,Male,Mexican,Cashier,Lead Cashier,4/29/1962,hartjeremy@example.com,0000000000,"29504 Johnson Expressway Suite 874
Butlertown, HI 53686",1970-01-23,Part-time,EMP1064,44163.48,7/9/1978
Bryan Park,Male,Mexican,Management,Store Manager,4/28/1963,riverasarah@example.net,0000000000,"314 Anna Stravenue Apt. 148
Cordovahaven, AS 07916",1986-04-02,Part-time,EMP1065,64284.0,2/3/1984
Jacqueline White,Female,American,Sales,Sales Associate,4/2/2000,ajensen@example.net,16848051337,"2816 Cindy Trafficway Suite 146
Beckborough, OK 42470",2020-04-21,Temporary,EMP1066,68706.15,
Michael Gregory,Male,Canadian,Inventory,Stock Clerk,6/22/1961,ruthpierce@example.com,4383238978,"0509 Nicole Harbors
Port Donna, UT 72330",1971-08-08,Full-time,EMP1067,41757.23,
Austin Blake,Male,French,Inventory,Stock Clerk,6/10/1984,samantha56@example.com,0000000000,"USNS Jones
FPO AE 45483",1993-05-28,Freelance,EMP1068,54005.26,
Erin Scott,Female,British,Sales,Senior Salesperson,4/30/1998,diana40@example.net,0000000000,"44107 Jennifer Lakes
Lake Davidmouth, MN 68457",2023-08-31,Part-time,EMP1069,25525.31,
Miranda Robinson,Female,Indian,Cashier,Lead Cashier,6/21/1998,wjacobs@example.com,0000000000,"577 Melissa Summit Apt. 920
Port Sarah, VA 68418",1999-11-10,Freelance,EMP1070,67927.36,
Kimberly Green,Female,Mexican,Sales,Sales Associate,1/3/1991,richard93@example.org,7639369416,"02997 Katherine Parks Suite 987
Scottfurt, AZ 09877",1992-06-30,Full-time,EMP1071,61105.81,
Lawrence Harris,Male,Canadian,Sales,Sales Associate,5/5/1993,colemark@example.org,5879339271,"594 Rose Mission Suite 419
New Jessicahaven, AR 79855",2009-07-03,Full-time,EMP1072,78301.26,
Micheal Jackson,Male,American,Inventory,Warehouse Assistant,2/13/1971,padams@example.net,0000000000,,1973-01-09,Temporary,EMP1073,67173.8,2/2/1978
Charles Foley,Male,Mexican,Sales,Sales Associate,5/18/1971,josephprice@example.org,0000000000,"PSC 6882, Box 4640
APO AE 34892",1974-02-28,Freelance,EMP1074,71661.18,
Jessica Nguyen,Female,Mexican,Management,Assistant Manager,1/17/1996,johnwhite@example.org,0000000000,"6764 Ingram Canyon
North Matthew, MH 56926",2002-05-14,Part-time,EMP1075,38293.19,12/6/2006
Douglas Powers,Male,French,Sales,Senior Salesperson,1/20/1993,christianlong@example.org,0000000000,"Unit 6190 Box 2119
DPO AE 11963",2013-09-12,Freelance,EMP1076,43374.92,10/31/2017
Alex Anderson,Male,American,Management,Store Manager,4/22/1970,thomas17@example.net,8183616570,"5539 Tracy Land
West Jasonview, FL 29235",1993-12-31,Freelance,EMP1077,37359.7,
Samantha Hodges,Female,Canadian,Management,Assistant Manager,2/1/1965,stephenthornton@example.com,0000000000,"79421 Dan Ridge Apt. 199
Blackwellfort, AK 67314",1953-12-16,Freelance,EMP1078,50873.97,
Karen Fields,Female,Mexican,Inventory,Stock Clerk,11/29/1997,danielhansen@example.net,0000000000,"26002 Welch Groves Suite 167
Velezborough, NH 51172",2000-09-22,Part-time,EMP1079,66565.89,9/28/2005
Karen Shepherd,Female,Mexican,Customer Service,Support Agent,11/17/1984,judy56@example.com,0000000000,"6197 Nguyen Trail
West Jake, NV 59963",1983-06-25,Part-time,EMP1080,67838.9,
Angela Weber,Female,Indian,Customer Service,Support Agent,11/6/1976,valerieweiss@example.org,2579231570,"1666 Sean Road
Wilsonbury, NM 73214",1996-04-04,Freelance,EMP1081,45780.43,
Jennifer Crawford,Female,American,Inventory,Stock Clerk,8/27/1962,garyramirez@example.net,4445971351,"22746 Burton Drives
West Heidi, OH 49010",1962-09-23,Part-time,EMP1082,33301.34,5/5/1965
Cathy Lewis,Female,French,Inventory,Stock Clerk,9/5/2001,laurastewart@example.org,2902426442,"1380 Tammy Stream
Charlesport, OR 35695",1997-08-18,Temporary,EMP1083,63756.39,3/15/2004
Vickie Stone,Female,Canadian,Cashier,Lead Cashier,3/2/1989,nspence@example.com,0000000000,,2012-11-17,Part-time,EMP1084,26311.35,11/24/2019
Michael Flores,Male,German,Cashier,Lead Cashier,8/19/1998,lwatson@example.com,2023211494,"45935 Williams Walks
Amberberg, WI 82685",2021-10-17,Part-time,EMP1085,51089.3,
Linda Bailey,Female,Canadian,Sales,Senior Salesperson,11/21/1997,nsimpson@example.com,0000000000,"USS Wise
FPO AA 31401",1999-09-30,Freelance,EMP1086,32808.5,1/5/2006
Marcus Nichols,Male,Indian,Inventory,Stock Clerk,1/21/1999,nan,0000000000,"84484 Monica Landing Apt. 520
Andersonton, PA 74333",2015-06-15,Freelance,EMP1087,39744.64,
Lynn Garcia,Female,German,Customer Service,Customer Service Rep,6/14/1973,perezjames@example.org,6486308794,"92124 Fitzgerald Point
New Matthewfort, NJ 07268",1988-05-21,Part-time,EMP1088,26987.46,10/16/1991
Michelle Tran,Female,American,Customer Service,Customer Service Rep,6/26/1960,vazquezthomas@example.com,0000000000,"257 Lisa Flat
Cantrellside, TN 58225",1967-02-11,Temporary,EMP1089,25238.17,
Robert Carroll,Male,Mexican,Cashier,Cashier,12/21/1960,maria33@example.net,0000000000,"701 Hendrix Route
Lake Scott, MP 42771",1965-01-17,Full-time,EMP1090,30509.76,
Zachary Garcia,Male,Mexican,Management,Assistant Manager,2/17/1975,williamsnicole@example.com,4632292643,"27107 Alicia Plain
Carlfort, RI 43121",1986-05-15,Temporary,EMP1091,51195.02,
Cory Guzman,Male,French,Inventory,Warehouse Assistant,1/4/1975,kristin92@example.org,0000000000,"9130 Walker Turnpike Suite 136
Rodriguezborough, OH 03819",1980-02-08,Part-time,EMP1092,70712.27,11/12/1982
Jason Douglas,Male,Canadian,Sales,Sales Associate,4/11/1969,marissaparker@example.net,5369496437,"7921 Kimberly Squares
Port Michaelport, IA 69800",1957-11-17,Part-time,EMP1093,27918.67,4/7/1959
Dr. Emily Fischer,Unknown,Indian,Customer Service,Customer Service Rep,8/13/1974,cherylthomas@example.org,0000000000,"384 Rebecca Ports
North Kathyburgh, CO 14423",1980-12-03,Freelance,EMP1094,44029.38,
Karen Bautista,Female,Mexican,Management,Store Manager,7/5/1992,estesnicholas@example.org,0000000000,"267 Austin Highway
Lake Debra, PW 82661",2015-12-21,Freelance,EMP1095,60524.03,
Susan Bryant,Female,Mexican,Sales,Sales Associate,3/2/1987,whitedavid@example.org,0000000000,"6734 Jones Neck
West Brenda, UT 95353",2003-06-12,Full-time,EMP1096,58705.53,
Micheal Mccoy,Male,French,Sales,Senior Salesperson,8/20/2006,samanthavargas@example.org,0000000000,"80767 Morgan Road
Moniqueview, PW 08254",2011-02-16,Part-time,EMP1097,43731.59,8/16/2020
Scott Brown,Male,Mexican,Cashier,Lead Cashier,12/20/1999,carlosjackson@example.org,0000000000,"9562 Terry Knolls
North Stacytown, MH 37590",1991-06-21,Freelance,EMP1098,38519.43,
Melissa Williams,Female,American,Customer Service,Customer Service Rep,8/11/1986,beth88@example.org,0000000000,"98604 Brown Corner Apt. 612
Andreaburgh, IL 41544",1990-08-13,Freelance,EMP1099,57467.6,
Alan Yang MD,Male,Canadian,Sales,Sales Associate,8/21/2002,wbutler@example.net,0000000000,"14770 Mclean Square Apt. 922
New Tylerbury, MS 24955",1991-10-07,Full-time,EMP1100,69225.6,6/30/1998
Michael Vega,Male,American,Cashier,Lead Cashier,2/11/1985,nancy56@example.net,0000000000,"189 Roberts Key Suite 374
East Matthew, AL 75384",1975-12-19,Temporary,EMP1101,29957.57,3/22/1977
Christian Massey,Male,German,Sales,Senior Salesperson,12/28/1959,istewart@example.org,2298542931,,1953-11-22,Part-time,EMP1102,78893.98,
Patricia Thompson,Female,American,Cashier,Cashier,9/14/1994,bradyconnie@example.org,0000000000,"928 Grace Wells Suite 706
Sabrinaview, VI 19804",2013-10-02,Full-time,EMP1103,76556.59,10/30/2019
Richard Rogers,Male,Mexican,Customer Service,Support Agent,7/7/1964,alexander75@example.org,0000000000,"46806 Brown Squares Suite 748
West Dana, VT 96793",1959-12-29,Full-time,EMP1104,75763.03,
Heather Rodgers,Female,American,Inventory,Warehouse Assistant,9/7/1982,joshuaterry@example.net,5055590897,"Unit 4452 Box 7900
DPO AP 15066",2002-03-18,Full-time,EMP1105,32966.83,4/2/2007
Melissa Griffith,Female,German,Cashier,Lead Cashier,5/1/1962,melissa38@example.org,7267741298,"813 Luis Field Suite 116
Petersshire, IA 71921",1953-08-09,Freelance,EMP1106,75489.55,
Christine Velasquez,Female,French,Inventory,Warehouse Assistant,12/23/1966,melissa96@example.net,6995599371,"285 David Extensions
Johnsontown, CA 59746",1973-08-14,Freelance,EMP1107,43660.69,9/3/1980
Kara Morris,Female,Canadian,Customer Service,Support Agent,3/1/1973,shanemejia@example.net,0000000000,"0701 Rice Camp
West Annaville, PA 73856",1959-07-17,Temporary,EMP1108,75090.28,4/26/1968
Christine Collins,Female,French,Inventory,Warehouse Assistant,2/15/2003,kdowns@example.net,0000000000,"99708 Morgan Oval Suite 887
New Debramouth, FL 27286",2024-02-16,Temporary,EMP1109,31884.28,
Jerry Wolfe,Male,Canadian,Customer Service,Support Agent,1/2/1996,jasonbarrett@example.com,0000000000,"8882 William Curve
Barbaraport, MI 59281",1986-09-11,Temporary,EMP1110,55842.1,
Jennifer Lara,Female,Indian,Inventory,Stock Clerk,9/18/1964,nan,0000000000,"630 Snow Knoll Suite 619
Rodriguezshire, IL 01232",1953-12-24,Temporary,EMP1111,34259.1,1/28/1963
Mr. Jamie Hernandez,Unknown,Canadian,Customer Service,Customer Service Rep,12/19/1993,ann04@example.org,0000000000,"548 Cooley Spur Suite 585
New Gail, CA 60629",2006-02-16,Freelance,EMP1112,54887.56,
Matthew Li,Male,American,Sales,Sales Associate,6/18/1975,gmcdowell@example.net,4727322790,"403 Nancy Square Apt. 304
Wallerborough, RI 12466",1973-09-25,Full-time,EMP1113,64881.37,
Ariana Graham,Female,French,Inventory,Stock Clerk,5/18/1970,anna86@example.org,0000000000,"75252 Myers River
North Aaronton, MH 17322",1991-02-12,Part-time,EMP1114,36616.89,6/2/1992
Jessica Hampton,Female,Indian,Customer Service,Customer Service Rep,8/22/2006,qpatterson@example.org,0000000000,"760 Nicholas Drive
South Dorothy, PW 28248",2008-12-14,Full-time,EMP1115,67326.94,12/22/2016
William Savage,Male,Canadian,Customer Service,Support Agent,12/16/1990,nan,3595066232,"90286 Austin Port Suite 515
New Ashleyville, TN 03376",2016-05-21,Temporary,EMP1116,77898.35,3/6/2020
Sarah Williams,Female,French,Management,Store Manager,4/30/1968,gjones@example.org,5377957954,"47101 Chambers Parkways Apt. 850
Browningmouth, NC 90887",1985-12-03,Full-time,EMP1117,58670.62,
Brandy Gonzalez,Female,German,Sales,Sales Associate,12/25/1987,ericharrington@example.org,5822762261,"552 Edwards Cape
Maryfort, VA 42553",1976-11-15,Temporary,EMP1118,55073.84,
Scott Boyd,Male,Indian,Cashier,Lead Cashier,10/22/1998,qlynch@example.org,0000000000,"455 Roy Point Apt. 820
Nathanmouth, MI 90111",1995-06-23,Temporary,EMP1119,75302.99,
Cynthia Richmond,Female,Mexican,Inventory,Warehouse Assistant,11/6/1959,rittercheryl@example.net,0000000000,"93055 Wilcox Land Apt. 781
West Janice, IN 57632",1970-01-04,Temporary,EMP1120,40325.33,
Joshua Hill,Male,German,Inventory,Stock Clerk,2/28/1983,jgutierrez@example.org,2926413431,"2842 Green Prairie Suite 412
Ricebury, UT 62574",1971-11-06,Part-time,EMP1121,36942.19,6/2/1979
Cynthia Peters,Female,British,Customer Service,Customer Service Rep,4/14/1991,marciaprince@example.org,0000000000,"0841 Tran Forks Apt. 961
Chavezberg, AL 51701",1996-10-22,Freelance,EMP1122,46213.68,12/23/2004
Katherine Sandoval,Female,French,Management,Store Manager,2/19/1961,joseph97@example.org,0000000000,"48965 Logan Point
Kimshire, AK 12638",1979-05-06,Full-time,EMP1123,46119.24,4/22/1981
Cathy Gutierrez,Female,German,Management,Store Manager,8/7/1992,ydonaldson@example.com,0000000000,"7859 Hughes Stravenue Suite 726
East Jennifermouth, MP 46843",2008-11-22,Part-time,EMP1124,35708.82,
Jason Davenport,Male,Mexican,Inventory,Stock Clerk,12/19/2003,lmarks@example.net,0000000000,"USNV Roberson
FPO AP 97254",2025-04-17,Freelance,EMP1125,46747.55,
Amanda Miller,Female,American,Inventory,Stock Clerk,7/22/1994,dlopez@example.org,0000000000,"419 Deborah Neck
West Jeremyburgh, GU 07664",2002-01-20,Full-time,EMP1126,42554.01,1/14/2012
Kenneth Roberson,Male,German,Sales,Sales Associate,8/2/1971,brownmadison@example.org,0000000000,"USNV Whitehead
FPO AP 26760",1997-06-15,Full-time,EMP1127,49285.1,10/23/2001
Philip Harrison,Male,French,Management,Assistant Manager,1/3/1989,mcclureann@example.net,0000000000,"4409 William Square
Port Paul, AK 06469",2004-03-05,Full-time,EMP1128,58594.22,11/9/2005
Carol Giles,Female,American,Customer Service,Customer Service Rep,11/29/2002,peterrobinson@example.com,0000000000,"5274 Jill Common
Tonybury, CO 72395",2028-09-22,Temporary,EMP1129,29622.72,
Melanie Willis,Female,German,Cashier,Lead Cashier,3/12/1983,jameswilliams@example.org,0000000000,"65135 Joseph Crossroad Apt. 923
Marthaside, SD 26483",1987-11-18,Full-time,EMP1130,34579.1,
Whitney Melton,Male,Canadian,Sales,Sales Associate,1/30/1993,calebrodgers@example.com,0000000000,"07119 Conner Unions
New Calebhaven, AL 05792",2003-09-12,Part-time,EMP1131,73365.99,
Terry Mcbride,Male,American,Inventory,Stock Clerk,6/28/1960,stephen35@example.com,13685598124,"2250 Robert Knolls Suite 319
Port Tony, RI 43304",1983-10-13,Temporary,EMP1132,31738.63,
Jared Salinas,Male,Indian,Cashier,Lead Cashier,2/15/1976,nan,0000000000,"82794 Jeffrey Drive
Beckborough, HI 80655",1965-07-04,Freelance,EMP1133,68067.4,5/21/1970
Michael Price,Male,Mexican,Sales,Senior Salesperson,3/27/1971,nan,2368456788,"Unit 1401 Box 0260
DPO AE 83839",1966-10-22,Temporary,EMP1134,58659.57,
Abigail Mcbride,Female,Mexican,Inventory,Warehouse Assistant,9/11/2006,andrewsummers@example.org,0000000000,"Unit 0503 Box 4732
DPO AA 06295",2021-09-22,Full-time,EMP1135,50132.81,
Laura Norris,Female,British,Management,Assistant Manager,8/26/1983,lewisstephanie@example.org,0000000000,"441 Hall Glen Suite 918
South Rachel, RI 49138",1996-02-27,Freelance,EMP1136,79836.96,10/20/2004
Barry Young,Male,Canadian,Inventory,Stock Clerk,12/8/2005,ltaylor@example.org,0000000000,"311 Taylor Glens
Jacobshire, AL 09559",1994-05-15,Freelance,EMP1137,72103.3,8/13/2002
